"Part";"Value";"Device";"Package";"Description";"";
"AC_IN";"MKDSN1,5/2-5,08";"MKDSN1,5/2-5,08";"MKDSN1,5/2-5,08";"MKDSN 1,5/ 2-5,08 Printklemme";"";
"B1";"";"RB1A";"RB1A";"RECTIFIER";"";
"B2";"";"RB1A";"RB1A";"RECTIFIER";"";
"C1";"";"C-EUC1210";"C1210";"CAPACITOR, European symbol";"";
"C2";"";"C-EUC1210";"C1210";"CAPACITOR, European symbol";"";
"C3";"";"C-EUC1210";"C1210";"CAPACITOR, European symbol";"";
"C4";"";"C-EUC1210";"C1210";"CAPACITOR, European symbol";"";
"C5";"";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";
"C6";"";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";
"C7";"";"C-EUC1210";"C1210";"CAPACITOR, European symbol";"";
"C8";"";"C-EUC1210";"C1210";"CAPACITOR, European symbol";"";
"C9";"";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";
"C10";"";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";
"C11";"";"C-EUC1210";"C1210";"CAPACITOR, European symbol";"";
"C12";"";"C-EUC1210";"C1210";"CAPACITOR, European symbol";"";
"C13";"";"C-EU075-032X103";"C075-032X103";"CAPACITOR, European symbol";"";
"C14";"";"CPOL-EUE5-13";"E5-13";"POLARIZED CAPACITOR, European symbol";"";
"C15";"";"CPOL-EUE5-13";"E5-13";"POLARIZED CAPACITOR, European symbol";"";
"C16";"";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";
"C18";"";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";
"C19";"";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";
"C20";"";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";
"C21";"";"CPOL-EUE3.5-8";"E3,5-8";"POLARIZED CAPACITOR, European symbol";"";
"C22";"";"CPOL-EUE3.5-8";"E3,5-8";"POLARIZED CAPACITOR, European symbol";"";
"C23";"";"C-EUC1210";"C1210";"CAPACITOR, European symbol";"";
"C24";"";"C-EUC1210";"C1210";"CAPACITOR, European symbol";"";
"JP1";"";"JP1E";"JP1";"JUMPER";"";
"R1";"R1";"R-EU_MELF0204W";"MINI_MELF-0204W";"RESISTOR, European symbol";"";
"R2";"";"R-EU_MELF0204W";"MINI_MELF-0204W";"RESISTOR, European symbol";"";
"R3";"R3";"R-EU_MELF0204W";"MINI_MELF-0204W";"RESISTOR, European symbol";"";
"R4";"";"R-EU_MELF0204W";"MINI_MELF-0204W";"RESISTOR, European symbol";"";
"R5";"";"R-EU_0207/12";"0207/12";"RESISTOR, European symbol";"";
"U$1";"TPS7A4701";"TPS7A4701";"QFN65P500X500X100-21N";"";"";
"U$2";"TPS7A4701";"TPS7A4701";"QFN65P500X500X100-21N";"";"";
"X1";"MKDSN1,5/2-5,08";"MKDSN1,5/2-5,08";"MKDSN1,5/2-5,08";"MKDSN 1,5/ 2-5,08 Printklemme";"";
"X2";"MKDSN1,5/2-5,08";"MKDSN1,5/2-5,08";"MKDSN1,5/2-5,08";"MKDSN 1,5/ 2-5,08 Printklemme";"";
"X3";"MKDSN1,5/2-5,08";"MKDSN1,5/2-5,08";"MKDSN1,5/2-5,08";"MKDSN 1,5/ 2-5,08 Printklemme";"";
